what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1397402912455
java.version,sysinfo,,,"1.6.0_30",1397402912455
java.vm.info,sysinfo,,,"mixed mode",1397402912455
java.vm.name,sysinfo,,,"OpenJDK Client VM",1397402912455
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1397402912455
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1397402912455
java.vm.specification.version,sysinfo,,,"1.0",1397402912455
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1397402912455
java.vm.version,sysinfo,,,"23.25-b01",1397402912455
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1397402912684
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1397402913057
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100410-0300,"org.eclipse.php.debug.daemon",1397402913088
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1397402913108
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1397402913169
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql.h2",1397402913255
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1397402913459
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1397402913494
started,bundle,org.eclipse.php.server.core,2.2.0.v20100410-0300,"org.eclipse.php.server.core",1397402913502
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1397402913734
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1397402913780
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1397402913833
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1397402914143
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100822-0100,"org.eclipse.php.debug.core",1397402914155
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1397402914484
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20100822-0100,"org.eclipse.php.debug.ui",1397402914765
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1397402914839
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1397402914919
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.perspectives.showPerspective",1397402919569
executed,command,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.perspective",1397402919569
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397402932108
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.edit.text.openLocalFile",1397402933643
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397402933648
started,bundle,org.eclipse.dltk.rse.core,2.0.1.v20100804-1944,"org.eclipse.dltk.rse.core",1397402939217
started,bundle,org.eclipse.rse.core,3.1.101.v201009071110,"org.eclipse.rse.core",1397402939572
started,bundle,org.eclipse.rse.services,3.2.0.v201006041352,"org.eclipse.rse.services",1397402939746
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1397402939778
started,bundle,org.eclipse.rse.ui,3.1.101.v201008191400,"org.eclipse.rse.ui",1397402940260
